[2022-01-14 06:02:52,706][INFO] logging into ./results/hairGAN.log
[2022-01-14 06:03:05,993][INFO] found 20 images in the folder
[2022-01-14 06:03:05,993][INFO] Loading models for stylegan inversion.
[2022-01-14 06:03:05,993][INFO] Loading inverter model.
[2022-01-14 06:03:05,994][INFO] Build network for module `generator` in model `styleganinv_ffhq256`.
[2022-01-14 06:03:06,230][INFO] Loading pytorch weights from `/content/drive/My Drive/GAN/hairGAN/pretrained_models/styleganinv_ffhq256_generator.pth`.
[2022-01-14 06:03:12,668][INFO] Successfully loaded!
[2022-01-14 06:03:12,670][INFO] Current `lod` is 0.0.
[2022-01-14 06:03:12,671][INFO] Build network for module `encoder` in model `styleganinv_ffhq256`.
[2022-01-14 06:03:13,863][INFO] Loading pytorch weights from `/content/drive/My Drive/GAN/hairGAN/pretrained_models/styleganinv_ffhq256_encoder.pth`.
[2022-01-14 06:03:24,785][INFO] Successfully loaded!
[2022-01-14 06:03:28,401][INFO] Loading generator model.
[2022-01-14 06:03:28,949][INFO] Loading models for hypergan inpainting.
[2022-01-14 06:04:06,340][INFO] succesfully completed inpainting on 20 / 20 images
[2022-01-14 06:04:06,340][INFO] starting inversion!
[2022-01-14 06:04:13,982][DEBUG] Step: 00001, lr: 1.00e-02, loss_pix: 0.035, loss_ssim: 0.396, loss_feat: 2251.483, loss_reg: 6.811, loss: 3.046
[2022-01-14 06:04:14,160][DEBUG] Step: 00002, lr: 1.00e-02, loss_pix: 0.057, loss_ssim: 0.372, loss_feat: 2553.278, loss_reg: 0.120, loss: -0.858
[2022-01-14 06:04:14,280][DEBUG] Step: 00003, lr: 1.00e-02, loss_pix: 0.086, loss_ssim: 0.340, loss_feat: 2708.077, loss_reg: 0.148, loss: -0.708
[2022-01-14 06:04:14,400][DEBUG] Step: 00004, lr: 1.00e-02, loss_pix: 0.109, loss_ssim: 0.319, loss_feat: 2809.363, loss_reg: 0.162, loss: -0.612
[2022-01-14 06:04:14,527][DEBUG] Step: 00005, lr: 1.00e-02, loss_pix: 0.126, loss_ssim: 0.306, loss_feat: 2866.343, loss_reg: 0.172, loss: -0.545
[2022-01-14 06:04:14,648][DEBUG] Step: 00006, lr: 1.00e-02, loss_pix: 0.140, loss_ssim: 0.295, loss_feat: 2915.920, loss_reg: 0.179, loss: -0.493
[2022-01-14 06:04:14,768][DEBUG] Step: 00007, lr: 1.00e-02, loss_pix: 0.150, loss_ssim: 0.287, loss_feat: 2951.606, loss_reg: 0.185, loss: -0.452
[2022-01-14 06:04:14,888][DEBUG] Step: 00008, lr: 1.00e-02, loss_pix: 0.158, loss_ssim: 0.281, loss_feat: 2999.560, loss_reg: 0.190, loss: -0.420
[2022-01-14 06:04:15,008][DEBUG] Step: 00009, lr: 1.00e-02, loss_pix: 0.165, loss_ssim: 0.276, loss_feat: 3041.474, loss_reg: 0.194, loss: -0.395
[2022-01-14 06:04:15,128][DEBUG] Step: 00010, lr: 1.00e-02, loss_pix: 0.170, loss_ssim: 0.273, loss_feat: 3072.560, loss_reg: 0.198, loss: -0.376
[2022-01-14 06:04:15,249][DEBUG] Step: 00011, lr: 1.00e-02, loss_pix: 0.174, loss_ssim: 0.270, loss_feat: 3124.700, loss_reg: 0.201, loss: -0.361
